W,K,beta,delta_s,is_canonical,admissible,boundary,violation,compression_ratio,max_residual_norm_sq
12,4,0.6,0.05,False,19406,989,149,0.05539330218068536,3510.4484291194285
12,4,0.6,0.1,False,19414,981,149,0.05500389408099689,3510.4484291194285
12,4,0.7,0.02,False,19977,423,144,0.027599299065420562,3510.4484291194285
12,4,0.7,0.05,False,19979,421,144,0.027501947040498444,3510.4484291194285
12,4,0.7,0.1,False,19983,417,144,0.027307242990654207,3510.4484291194285
12,6,0.3,0.02,False,12236,8146,162,0.40440031152647976,3510.4484291194285
12,6,0.3,0.05,False,12346,8037,161,0.3990459501557632,3510.4484291194285
12,6,0.3,0.1,False,12490,7893,161,0.3920366043613707,3510.4484291194285
12,6,0.4,0.02,False,16116,4256,172,0.2155373831775701,3510.4484291194285
12,6,0.4,0.05,False,16146,4226,172,0.21407710280373832,3510.4484291194285
12,6,0.4,0.1,False,16205,4166,173,0.21120521806853582,3510.4484291194285
12,6,0.5,0.02,False,18130,2247,167,0.11750389408099689,3510.4484291194285
12,6,0.5,0.05,False,18151,2225,168,0.11648169781931464,3510.4484291194285
12,6,0.5,0.1,False,18177,2199,168,0.1152161214953271,3510.4484291194285
12,6,0.6,0.02,False,19410,985,149,0.055198598130841124,3510.4484291194285
12,6,0.6,0.05,False,19419,976,149,0.054760514018691586,3510.4484291194285
12,6,0.6,0.1,False,19428,967,149,0.054322429906542055,3510.4484291194285
12,6,0.7,0.02,False,19981,419,144,0.027404595015576325,3510.4484291194285
12,6,0.7,0.05,False,19983,417,144,0.027307242990654207,3510.4484291194285
12,6,0.7,0.1,False,19988,412,144,0.02706386292834891,3510.4484291194285
16,2,0.3,0.02,False,10502,9877,165,0.4888045171339564,3510.4484291194285
16,2,0.3,0.05,False,10581,9798,165,0.4849591121495327,3510.4484291194285
16,2,0.3,0.1,False,10698,9681,165,0.4792640186915888,3510.4484291194285
16,2,0.4,0.02,False,14903,5466,175,0.2745813862928349,3510.4484291194285
16,2,0.4,0.05,False,14939,5430,175,0.2728290498442368,3510.4484291194285
16,2,0.4,0.1,False,15001,5369,174,0.2698111370716511,3510.4484291194285
16,2,0.5,0.02,False,17408,2966,170,0.1526479750778816,3510.4484291194285
16,2,0.5,0.05,False,17423,2951,170,0.15191783489096572,3510.4484291194285
16,2,0.5,0.1,False,17451,2925,168,0.15055490654205608,3510.4484291194285
16,2,0.6,0.02,False,19031,1364,149,0.07364680685358256,3510.4484291194285
