t,phi_true,phi_mean,phi_freqonly,phi_dsfb,err_mean,err_freqonly,err_dsfb,w2,s2
2.570000,1.125464,1.236958,1.231239,1.236720,0.111494,0.105775,0.111255,0.509707,0.119029
2.580000,1.129120,1.288243,1.260688,1.265321,0.159123,0.131568,0.136201,0.504024,0.120328
2.590000,1.132777,1.258283,1.260460,1.264773,0.125506,0.127683,0.131996,0.505200,0.118557
2.600000,1.136433,1.259425,1.260915,1.265232,0.122992,0.124482,0.128799,0.506118,0.117600
2.610000,1.140089,1.244540,1.253698,1.258314,0.104451,0.113610,0.118226,0.508736,0.115999
2.620000,1.143744,1.247788,1.251705,1.257235,0.104045,0.107961,0.113491,0.509928,0.118184
2.630000,1.147397,1.317770,1.285695,1.290233,0.170373,0.138298,0.142836,0.503204,0.119605
2.640000,1.151050,1.264549,1.276112,1.280851,0.113499,0.125062,0.129801,0.506459,0.119781
2.650000,1.154701,1.256113,1.267090,1.271732,0.101412,0.112389,0.117031,0.509549,0.116482
2.660000,1.158350,1.285612,1.277318,1.281926,0.127262,0.118968,0.123575,0.508088,0.116146
2.670000,1.161998,1.360910,1.320090,1.323787,0.198913,0.158092,0.161789,0.499249,0.119069
2.680000,1.165643,1.293580,1.307852,1.311473,0.127937,0.142208,0.145830,0.503325,0.115993
2.690000,1.169286,1.328978,1.319417,1.322897,0.159692,0.150131,0.153612,0.501711,0.116906
2.700000,1.172926,1.314134,1.317787,1.321450,0.141208,0.144861,0.148524,0.503179,0.117663
2.710000,1.176560,1.308404,1.314103,1.317931,0.131844,0.137543,0.141370,0.505087,0.116192
2.720000,1.180188,1.269412,1.292760,1.297019,0.089224,0.112572,0.116832,0.511043,0.111754
2.730000,1.183809,1.330947,1.312833,1.317287,0.147139,0.129024,0.133478,0.507124,0.113754
