step_idx,depth_m,observed_tqa_knm,baseline_tqa_knm,swob_kn,rpm,hkld_kn,sppa_kpa,residual_knm,drift_knm,slew_knm,token,r_norm,delta_norm,sigma_norm
72,1236.00,1.030422,0.244047,-8.0068,3.00,1150.4880,2447.0873,0.786374,0.036607,1.599865,Nominal,0.098297,0.012202,0.079993
73,1236.50,4.433525,0.244047,-7.8511,29.00,1205.8239,5768.8779,4.189477,0.459622,6.806206,Nominal,0.523685,0.153207,0.340310
74,1237.00,3.782732,0.244047,-8.8520,30.00,1206.4911,5745.8149,3.538685,0.821626,-1.301585,Nominal,0.442336,0.273875,-0.065079
75,1237.50,4.718246,0.244047,-6.8058,29.00,1205.3346,5668.1110,4.474199,1.277181,1.871029,Nominal,0.559275,0.425727,0.093551
76,1238.00,4.392850,0.244047,-5.7160,29.38,1204.9120,5751.3307,4.148803,1.700196,-0.650793,Nominal,0.518600,0.566732,-0.032540
77,1238.50,3.864081,0.244047,-5.3823,30.00,1203.9557,5889.9843,3.620034,2.070334,-1.057538,Nominal,0.452504,0.690111,-0.052877
78,1239.00,4.392850,0.244047,-6.0941,29.00,1204.0891,5812.6251,4.148803,2.486570,1.057538,Nominal,0.518600,0.828857,0.052877
79,1239.50,4.392850,0.244047,-5.3379,29.00,1204.6674,5812.6251,4.148803,2.902806,0.000000,BoundaryGrazing,0.518600,0.967602,0.000000
80,1240.00,4.189477,0.244047,-6.1608,29.00,1203.9779,5571.5844,3.945430,3.298705,-0.406745,DriftAccum,0.493179,1.099568,-0.020337
81,1240.50,4.203036,0.250826,-6.8947,29.00,1204.5339,5676.5916,3.952209,3.695282,0.013558,DriftAccum,0.494026,1.231761,0.000678
82,1241.00,4.216594,0.257605,-5.4268,29.00,1204.4005,5729.0607,3.958988,4.012543,0.013558,DriftAccum,0.494874,1.337514,0.000678
83,1241.50,3.809848,0.257605,-6.8058,29.00,1203.9557,5748.2971,3.552243,3.948820,-0.813491,DriftAccum,0.444030,1.316273,-0.040675
84,1242.00,3.809848,0.257605,-5.8939,29.00,1203.9112,5748.2971,3.552243,3.950176,0.000000,DriftAccum,0.444030,1.316725,0.000000
85,1242.50,4.216594,0.264384,-5.7382,30.00,1203.9557,5668.7316,3.952209,3.897977,0.799933,DriftAccum,0.494026,1.299326,0.039997
86,1243.00,4.216594,0.271164,-6.5389,30.00,1203.1550,5668.7316,3.945430,3.877639,-0.013558,DriftAccum,0.493179,1.292546,-0.000678
87,1243.50,4.101349,0.271164,-5.9606,30.00,1204.0224,5793.5956,3.830186,3.898655,-0.230489,DriftAccum,0.478773,1.299552,-0.011524
88,1244.00,3.986105,0.271164,-6.0051,30.00,1202.7102,5918.4597,3.714941,3.855268,-0.230489,DriftAccum,0.464368,1.285089,-0.011524
89,1244.50,3.931872,0.271164,-4.5817,30.00,1203.5998,5793.8024,3.660708,3.806459,-0.108465,DriftAccum,0.457589,1.268820,-0.005423
90,1245.00,3.918314,0.271164,-5.2489,30.00,1203.7333,5752.2960,3.647150,3.776631,-0.027116,DriftAccum,0.455894,1.258877,-0.001356
91,1245.50,3.972547,0.271164,-6.2498,29.50,1204.4227,5654.1836,3.701383,3.751548,0.108465,DriftAccum,0.462673,1.250516,0.005423
92,1246.00,4.026779,0.271164,-5.2489,29.00,1203.9557,5556.0712,3.755616,3.731211,0.108465,DriftAccum,0.469452,1.243737,0.005423
93,1246.50,3.620034,0.271164,-5.2489,29.75,1203.0215,5749.1934,3.348870,3.710874,-0.813491,DriftAccum,0.418609,1.236958,-0.040675
94,1247.00,3.484452,0.271164,-6.4054,30.00,1204.1781,5813.5904,3.213289,3.676978,-0.271164,DriftAccum,0.401661,1.225659,-0.013558
95,1247.50,3.809848,0.271164,-6.4499,29.00,1204.4894,5707.1353,3.538685,3.635626,0.650793,DriftAccum,0.442336,1.211875,0.032540
96,1248.00,3.809848,0.271164,-5.5603,29.00,1203.8222,5707.1353,3.538685,3.594951,0.000000,DriftAccum,0.442336,1.198317,0.000000
